graph_id,N,depth,seed,method,exp_value
N4_S8,4,5,8,tr_correct_sampling,12.613900000000001
N4_S8,4,6,8,sv,11.596992248558752
N4_S8,4,6,8,tr_expectation,2.1503071784973145
N4_S8,4,6,8,tr_sampling,11.711899757385254
N4_S8,4,6,8,tr_correct_sampling,11.5953
N4_S8,4,7,8,sv,17.07117351648179
N4_S8,4,7,8,tr_expectation,1.229780912399292
N4_S8,4,7,8,tr_sampling,11.203399658203125
N4_S8,4,7,8,tr_correct_sampling,11.4328
N4_S8,4,8,8,sv,10.524002433419481
N4_S8,4,8,8,tr_expectation,0.4735548794269562
N4_S8,4,8,8,tr_sampling,11.314599990844727
N4_S8,4,8,8,tr_correct_sampling,11.8606
N4_S8,4,9,8,sv,11.741746893205804
N4_S8,4,9,8,tr_expectation,0.2531096935272217
N4_S8,4,9,8,tr_sampling,11.533199310302734
N4_S8,4,9,8,tr_correct_sampling,10.9008
N4_S9,4,1,9,sv,20.01589543881519
N4_S9,4,1,9,tr_expectation,20.015846252441406
N4_S9,4,1,9,tr_sampling,18.15130043029785
N4_S9,4,1,9,tr_correct_sampling,20.032700000000002
N4_S9,4,2,9,sv,15.40758161865115
N4_S9,4,2,9,tr_expectation,15.407668113708496
N4_S9,4,2,9,tr_sampling,16.640399932861328
N4_S9,4,2,9,tr_correct_sampling,15.378300000000001
N4_S9,4,3,9,sv,12.561515742649437
N4_S9,4,3,9,tr_expectation,12.553893089294434
N4_S9,4,3,9,tr_sampling,16.361299514770508
N4_S9,4,3,9,tr_correct_sampling,12.5891
N4_S9,4,4,9,sv,15.858063831918177
N4_S9,4,4,9,tr_expectation,12.18331527709961
N4_S9,4,4,9,tr_sampling,16.171199798583984
N4_S9,4,4,9,tr_correct_sampling,14.0534
N4_S9,4,5,9,sv,14.388735973206563
N4_S9,4,5,9,tr_expectation,6.277092933654785
N4_S9,4,5,9,tr_sampling,16.27050018310547
N4_S9,4,5,9,tr_correct_sampling,17.6704
N4_S9,4,6,9,sv,19.45099545247708
N4_S9,4,6,9,tr_expectation,2.664491891860962
N4_S9,4,6,9,tr_sampling,16.451398849487305
N4_S9,4,6,9,tr_correct_sampling,14.8887
N4_S9,4,7,9,sv,15.759030374304865
